ts,id,x,y,x_min,x_max,y_min,y_max
"2013-11-03 18:01:20.000000","12","74.59","71.04","21.83","61.94","11.83","67.27"
"2013-11-03 18:01:20.000000","13","22.69","17.62","21.83","61.94","11.83","67.27"
"2013-11-03 18:01:20.000000","14","27.77","17.77","21.83","61.94","11.83","67.27"
"2013-11-03 18:01:20.000000","15","59.57","29.25","21.83","61.94","11.83","67.27"
"2013-11-03 18:01:21.000000","1","63.15","37.33","22.5","66.25","11.84","67.27"
"2013-11-03 18:01:21.000000","2","25.58","28.36","22.5","66.25","11.84","67.27"
"2013-11-03 18:01:21.000000","5","37.29","29.72","22.5","66.25","11.84","67.27"
"2013-11-03 18:01:21.000000","6","45.39","67.27","22.5","66.25","11.84","67.27"
"2013-11-03 18:01:21.000000","7","40.74","34.57","22.5","66.25","11.84","67.27"
"2013-11-03 18:01:21.000000","8","27.39","38.89","22.5","66.25","11.84","67.27"
"2013-11-03 18:01:21.000000","9","29.63","11.96","22.5","66.25","11.84","67.27"
"2013-11-03 18:01:21.000000","10","42","13.82","22.5","66.25","11.84","67.27"
"2013-11-03 18:01:21.000000","12","74.59","71.04","22.5","66.25","11.84","67.27"
"2013-11-03 18:01:21.000000","13","23.12","17.64","22.5","66.25","11.84","67.27"
"2013-11-03 18:01:21.000000","14","26.74","18.16","22.5","66.25","11.84","67.27"
"2013-11-03 18:01:21.000000","15","64.37","31.88","22.5","66.25","11.84","67.27"
"2013-11-03 18:01:22.000000","1","63.66","34.59","20.75","67.53","12.22","67.27"
"2013-11-03 18:01:22.000000","2","25.51","27.94","20.75","67.53","12.22","67.27"
"2013-11-03 18:01:22.000000","5","34.08","26.41","20.75","67.53","12.22","67.27"
"2013-11-03 18:01:22.000000","6","45.39","67.27","20.75","67.53","12.22","67.27"
"2013-11-03 18:01:22.000000","7","38.35","32.33","20.75","67.53","12.22","67.27"
"2013-11-03 18:01:22.000000","8","25.66","36.78","20.75","67.53","12.22","67.27"
"2013-11-03 18:01:22.000000","9","26.63","12.81","20.75","67.53","12.22","67.27"
"2013-11-03 18:01:22.000000","10","38.99","14.48","20.75","67.53","12.22","67.27"
"2013-11-03 18:01:22.000000","12","74.59","71.04","20.75","67.53","12.22","67.27"
"2013-11-03 18:01:22.000000","13","21.64","18.38","20.75","67.53","12.22","67.27"
"2013-11-03 18:01:22.000000","14","25.78","18.42","20.75","67.53","12.22","67.27"
"2013-11-03 18:01:22.000000","15","67.2","30.59","20.75","67.53","12.22","67.27"
"2013-11-03 18:01:23.000000","1","61.43","32.12","18.42","67.33","13.63","67.27"
"2013-11-03 18:01:23.000000","2","23.53","27.36","18.42","67.33","13.63","67.27"
"2013-11-03 18:01:23.000000","5","30.18","25.22","18.42","67.33","13.63","67.27"
"2013-11-03 18:01:23.000000","6","45.39","67.27","18.42","67.33","13.63","67.27"
"2013-11-03 18:01:23.000000","7","35.36","29.2","18.42","67.33","13.63","67.27"
"2013-11-03 18:01:23.000000","8","22.73","35.79","18.42","67.33","13.63","67.27"
"2013-11-03 18:01:23.000000","9","23.83","14.34","18.42","67.33","13.63","67.27"
"2013-11-03 18:01:23.000000","10","34.62","15.14","18.42","67.33","13.63","67.27"
"2013-11-03 18:01:23.000000","12","74.59","71.04","18.42","67.33","13.63","67.27"
"2013-11-03 18:01:23.000000","13","19.53","18.84","18.42","67.33","13.63","67.27"
"2013-11-03 18:01:23.000000","14","24.73","19.67","18.42","67.33","13.63","67.27"
"2013-11-03 18:01:23.000000","15","66.04","27.21","18.42","67.33","13.63","67.27"
"2013-11-03 18:01:24.000000","1","58.55","30.64","16.72","64.25","15.03","67.27"
"2013-11-03 18:01:24.000000","2","20.38","28.01","16.72","64.25","15.03","67.27"
"2013-11-03 18:01:24.000000","5","27.37","26.67","16.72","64.25","15.03","67.27"
"2013-11-03 18:01:24.000000","6","45.39","67.27","16.72","64.25","15.03","67.27"
"2013-11-03 18:01:24.000000","7","32.36","27.82","16.72","64.25","15.03","67.27"
"2013-11-03 18:01:24.000000","8","19.73","34.93","16.72","64.25","15.03","67.27"
"2013-11-03 18:01:24.000000","9","20.5","15.61","16.72","64.25","15.03","67.27"
"2013-11-03 18:01:24.000000","10","32.06","16.51","16.72","64.25","15.03","67.27"
"2013-11-03 18:01:24.000000","12","74.59","71.04","16.72","64.25","15.03","67.27"
"2013-11-03 18:01:24.000000","13","17.48","19.98","16.72","64.25","15.03","67.27"
"2013-11-03 18:01:24.000000","14","24.19","22.64","16.72","64.25","15.03","67.27"
"2013-11-03 18:01:24.000000","15","62.64","25.68","16.72","64.25","15.03","67.27"
"2013-11-03 18:01:25.000000","1","55.43","30.28","15.17","60.96","16.29","67.27"
"2013-11-03 18:01:25.000000","2","16.52","29.48","15.17","60.96","16.29","67.27"
"2013-11-03 18:01:25.000000","5","25.47","28.35","15.17","60.96","16.29","67.27"
"2013-11-03 18:01:25.000000","6","45.39","67.27","15.17","60.96","16.29","67.27"
"2013-11-03 18:01:25.000000","7","29.79","29.08","15.17","60.96","16.29","67.27"
"2013-11-03 18:01:25.000000","8","16.88","34.43","15.17","60.96","16.29","67.27"
"2013-11-03 18:01:25.000000","9","18.53","17.09","15.17","60.96","16.29","67.27"
"2013-11-03 18:01:25.000000","10","31.25","17.24","15.17","60.96","16.29","67.27"
"2013-11-03 18:01:25.000000","12","74.59","71.04","15.17","60.96","16.29","67.27"
"2013-11-03 18:01:25.000000","13","16.08","22.21","15.17","60.96","16.29","67.27"
"2013-11-03 18:01:25.000000","14","23.56","24.72","15.17","60.96","16.29","67.27"
"2013-11-03 18:01:25.000000","15","59.39","24.23","15.17","60.96","16.29","67.27"
"2013-11-03 18:01:26.000000","1","52.26","31.91","12.36","57.6","17.54","67.27"
"2013-11-03 18:01:26.000000","2","13.82","30.9","12.36","57.6","17.54","67.27"
"2013-11-03 18:01:26.000000","5","23.26","29.86","12.36","57.6","17.54","67.27"
"2013-11-03 18:01:26.000000","6","45.39","67.27","12.36","57.6","17.54","67.27"
"2013-11-03 18:01:26.000000","7","27.03","31.84","12.36","57.6","17.54","67.27"
"2013-11-03 18:01:26.000000","8","14.22","34.45","12.36","57.6","17.54","67.27"
"2013-11-03 18:01:26.000000","9","17.27","18.79","12.36","57.6","17.54","67.27"
"2013-11-03 18:01:26.000000","10","30.04","17.82","12.36","57.6","17.54","67.27"
"2013-11-03 18:01:26.000000","12","74.59","71.04","12.36","57.6","17.54","67.27"
"2013-11-03 18:01:26.000000","13","14.95","24.52","12.36","57.6","17.54","67.27"
"2013-11-03 18:01:26.000000","14","21.67","24.36","12.36","57.6","17.54","67.27"
"2013-11-03 18:01:26.000000","15","56.2","21.59","12.36","57.6","17.54","67.27"
"2013-11-03 18:01:27.000000","1","50.76","33.85","10.89","54.95","16.09","67.27"
"2013-11-03 18:01:27.000000","2","11.26","33.8","10.89","54.95","16.09","67.27"
"2013-11-03 18:01:27.000000","5","23.69","31.6","10.89","54.95","16.09","67.27"
"2013-11-03 18:01:27.000000","6","45.39","67.27","10.89","54.95","16.09","67.27"
"2013-11-03 18:01:27.000000","7","24.8","35.51","10.89","54.95","16.09","67.27"
"2013-11-03 18:01:27.000000","8","12.63","37.08","10.89","54.95","16.09","67.27"
"2013-11-03 18:01:27.000000","9","16.04","20.94","10.89","54.95","16.09","67.27"
"2013-11-03 18:01:27.000000","10","30.03","17.04","10.89","54.95","16.09","67.27"
"2013-11-03 18:01:27.000000","12","74.59","71.04","10.89","54.95","16.09","67.27"
"2013-11-03 18:01:27.000000","13","13.13","26.79","10.89","54.95","16.09","67.27"
"2013-11-03 18:01:27.000000","14","19.91","26.24","10.89","54.95","16.09","67.27"
"2013-11-03 18:01:27.000000","15","54.44","19.69","10.89","54.95","16.09","67.27"
"2013-11-03 18:01:28.000000","1","52.07","36.3","11.14","55.4","14.37","67.27"
"2013-11-03 18:01:28.000000","2","12.42","36.77","11.14","55.4","14.37","67.27"
"2013-11-03 18:01:28.000000","5","26.52","34.9","11.14","55.4","14.37","67.27"
"2013-11-03 18:01:28.000000","6","45.39","67.27","11.14","55.4","14.37","67.27"
"2013-11-03 18:01:28.000000","7","25.83","40.32","11.14","55.4","14.37","67.27"
"2013-11-03 18:01:28.000000","8","12.12","42.02","11.14","55.4","14.37","67.27"
"2013-11-03 18:01:28.000000","9","18.49","20.76","11.14","55.4","14.37","67.27"
"2013-11-03 18:01:28.000000","10","32.1","15.15","11.14","55.4","14.37","67.27"
"2013-11-03 18:01:28.000000","12","74.59","71.04","11.14","55.4","14.37","67.27"
"2013-11-03 18:01:28.000000","13","13.23","28.3","11.14","55.4","14.37","67.27"
"2013-11-03 18:01:28.000000","14","21.37","28.24","11.14","55.4","14.37","67.27"
"2013-11-03 18:01:28.000000","15","54.77","18.58","11.14","55.4","14.37","67.27"
"2013-11-03 18:01:29.000000","1","54.65","38.23","12.12","56.78","13.3","67.27"
"2013-11-03 18:01:29.000000","2","16.57","37.72","12.12","56.78","13.3","67.27"
"2013-11-03 18:01:29.000000","5","28.56","37","12.12","56.78","13.3","67.27"
"2013-11-03 18:01:29.000000","6","45.39","67.27","12.12","56.78","13.3","67.27"
"2013-11-03 18:01:29.000000","7","30.05","42.23","12.12","56.78","13.3","67.27"
"2013-11-03 18:01:29.000000","8","12.68","46.17","12.12","56.78","13.3","67.27"
"2013-11-03 18:01:29.000000","9","23.17","18.89","12.12","56.78","13.3","67.27"
"2013-11-03 18:01:29.000000","10","35.43","13.77","12.12","56.78","13.3","67.27"
"2013-11-03 18:01:29.000000","12","74.59","71.04","12.12","56.78","13.3","67.27"
"2013-11-03 18:01:29.000000","13","16.09","29.19","12.12","56.78","13.3","67.27"
"2013-11-03 18:01:29.000000","14","24.53","27.98","12.12","56.78","13.3","67.27"
"2013-11-03 18:01:29.000000","15","56.05","18.26","12.12","56.78","13.3","67.27"
"2013-11-03 18:01:30.000000","1","57.9","38.17","13.65","59.31","12.47","67.27"
"2013-11-03 18:01:30.000000","2","21.32","39.63","13.65","59.31","12.47","67.27"
"2013-11-03 18:01:30.000000","5","31.39","37.25","13.65","59.31","12.47","67.27"
"2013-11-03 18:01:30.000000","6","45.39","67.27","13.65","59.31","12.47","67.27"
"2013-11-03 18:01:30.000000","7","34.57","43.46","13.65","59.31","12.47","67.27"
"2013-11-03 18:01:30.000000","8","15.05","49.81","13.65","59.31","12.47","67.27"
"2013-11-03 18:01:30.000000","9","27.87","17.32","13.65","59.31","12.47","67.27"
"2013-11-03 18:01:30.000000","10","39.31","12.8","13.65","59.31","12.47","67.27"
"2013-11-03 18:01:30.000000","12","74.59","71.04","13.65","59.31","12.47","67.27"
"2013-11-03 18:01:30.000000","13","19.67","30.57","13.65","59.31","12.47","67.27"
"2013-11-03 18:01:30.000000","14","28.8","27.24","13.65","59.31","12.47","67.27"
"2013-11-03 18:01:30.000000","15","58.01","17.73","13.65","59.31","12.47","67.27"
"2013-11-03 18:01:31.000000","1","60.6","37.19","16.86","61.71","12.43","67.27"
"2013-11-03 18:01:31.000000","2","25.66","40.43","16.86","61.71","12.43","67.27"
"2013-11-03 18:01:31.000000","5","34.83","39.07","16.86","61.71","12.43","67.27"
"2013-11-03 18:01:31.000000","6","45.39","67.27","16.86","61.71","12.43","67.27"
"2013-11-03 18:01:31.000000","7","39.41","45.41","16.86","61.71","12.43","67.27"
"2013-11-03 18:01:31.000000","8","18.95","52.02","16.86","61.71","12.43","67.27"
"2013-11-03 18:01:31.000000","9","32.32","16.02","16.86","61.71","12.43","67.27"
"2013-11-03 18:01:31.000000","10","43.27","12.46","16.86","61.71","12.43","67.27"
"2013-11-03 18:01:31.000000","12","74.59","71.04","16.86","61.71","12.43","67.27"
"2013-11-03 18:01:31.000000","13","23.56","30.46","16.86","61.71","12.43","67.27"
"2013-11-03 18:01:31.000000","14","33.2","27.21","16.86","61.71","12.43","67.27"
"2013-11-03 18:01:31.000000","15","60.33","17.65","16.86","61.71","12.43","67.27"
"2013-11-03 18:01:32.000000","1","62.53","35.28","21.36","63.12","12.54","67.27"
"2013-11-03 18:01:32.000000","2","29.87","40.55","21.36","63.12","12.54","67.27"
"2013-11-03 18:01:32.000000","5","38.1","40.22","21.36","63.12","12.54","67.27"
"2013-11-03 18:01:32.000000","6","45.39","67.27","21.36","63.12","12.54","67.27"
"2013-11-03 18:01:32.000000","7","44.05","45.37","21.36","63.12","12.54","67.27"
"2013-11-03 18:01:32.000000","8","23.41","52.64","21.36","63.12","12.54","67.27"
"2013-11-03 18:01:32.000000","9","36.03","15.78","21.36","63.12","12.54","67.27"
"2013-11-03 18:01:32.000000","10","47.52","12.77","21.36","63.12","12.54","67.27"
"2013-11-03 18:01:32.000000","12","74.59","71.04","21.36","63.12","12.54","67.27"
"2013-11-03 18:01:32.000000","13","27.6","28.85","21.36","63.12","12.54","67.27"
"2013-11-03 18:01:32.000000","14","37.1","27.36","21.36","63.12","12.54","67.27"
"2013-11-03 18:01:32.000000","15","62.13","17.53","21.36","63.12","12.54","67.27"
"2013-11-03 18:01:33.000000","1","64.14","32.99","25.62","65.34","13.26","67.27"
"2013-11-03 18:01:33.000000","2","33.91","39.46","25.62","65.34","13.26","67.27"
"2013-11-03 18:01:33.000000","5","41.32","40.21","25.62","65.34","13.26","67.27"
"2013-11-03 18:01:33.000000","6","45.39","67.27","25.62","65.34","13.26","67.27"
"2013-11-03 18:01:33.000000","7","48.89","43.45","25.62","65.34","13.26","67.27"
"2013-11-03 18:01:33.000000","8","27.78","51.8","25.62","65.34","13.26","67.27"
"2013-11-03 18:01:33.000000","9","38.73","16.45","25.62","65.34","13.26","67.27"
"2013-11-03 18:01:33.000000","10","51.71","13.99","25.62","65.34","13.26","67.27"
"2013-11-03 18:01:33.000000","12","74.59","71.04","25.62","65.34","13.26","67.27"
"2013-11-03 18:01:33.000000","13","32.1","26.85","25.62","65.34","13.26","67.27"
"2013-11-03 18:01:33.000000","14","40.65","26.98","25.62","65.34","13.26","67.27"
"2013-11-03 18:01:33.000000","15","63.95","18.22","25.62","65.34","13.26","67.27"
"2013-11-03 18:01:34.000000","1","66.63","30.14","30.34","67.59","14.62","67.27"
"2013-11-03 18:01:34.000000","2","37.26","39.43","30.34","67.59","14.62","67.27"
"2013-11-03 18:01:34.000000","5","44.2","39.6","30.34","67.59","14.62","67.27"
"2013-11-03 18:01:34.000000","6","45.39","67.27","30.34","67.59","14.62","67.27"
"2013-11-03 18:01:34.000000","7","53.09","40.97","30.34","67.59","14.62","67.27"
"2013-11-03 18:01:34.000000","8","32.49","50.52","30.34","67.59","14.62","67.27"
"2013-11-03 18:01:34.000000","9","41.96","16.25","30.34","67.59","14.62","67.27"
"2013-11-03 18:01:34.000000","10","56.09","14.86","30.34","67.59","14.62","67.27"
"2013-11-03 18:01:34.000000","11","38.92","70.49","30.34","67.59","14.62","67.27"
"2013-11-03 18:01:34.000000","12","74.59","71.04","30.34","67.59","14.62","67.27"
"2013-11-03 18:01:34.000000","13","36.25","26.83","30.34","67.59","14.62","67.27"
"2013-11-03 18:01:34.000000","14","43.87","26.25","30.34","67.59","14.62","67.27"
"2013-11-03 18:01:34.000000","15","65.73","18.24","30.34","67.59","14.62","67.27"
"2013-11-03 18:01:35.000000","1","68.71","28.78","34.51","69.87","13.94","67.27"
"2013-11-03 18:01:35.000000","2","40.65","38.38","34.51","69.87","13.94","67.27"
"2013-11-03 18:01:35.000000","5","46.53","39.66","34.51","69.87","13.94","67.27"
"2013-11-03 18:01:35.000000","6","45.39","67.27","34.51","69.87","13.94","67.27"
"2013-11-03 18:01:35.000000","7","56.57","39.24","34.51","69.87","13.94","67.27"
