id,time,energy
Player 15 11/07/17,55,111.0337207
Player 15 11/07/17,65,82.41807035
Player 16 11/07/17,0,220.8487522
Player 16 11/07/17,10,232.8014013
Player 16 11/07/17,15,133.5236761
Player 16 11/07/17,20,162.2136454
Player 16 11/07/17,30,11.28760042
Player 16 11/07/17,35,140.7092131
Player 16 11/07/17,40,233.9446943
Player 16 11/07/17,45,111.6562541
Player 16 11/07/17,50,204.9220296
Player 16 11/07/17,55,78.93728493
Player 16 11/07/17,65,122.6123866
Player 16 11/07/17,70,279.6000756
Player 16 11/07/17,75,70.04231703
Player 5 11/07/17,45,0.000411033
Player 5 11/07/17,50,2.074680934
Player 14 11/07/17,45,2.056440465
Player 14 11/07/17,55,0.142313259
Team Total 11/03/17,0,3768.929122
Team Total 11/03/17,5,2625.270541
Team Total 11/03/17,10,2187.82567
Team Total 11/03/17,15,2418.185844
Team Total 11/03/17,20,2670.350845
Team Total 11/03/17,25,2508.361807
Team Total 11/03/17,30,2418.136378
Team Total 11/03/17,35,3233.861776
Team Total 11/03/17,40,2521.262763
Team Total 11/03/17,45,3706.944384
Team Total 11/03/17,50,2334.080903
Team Total 11/03/17,55,1896.023132
Team Total 11/03/17,60,2394.38441
Team Total 11/03/17,65,2156.949217
Team Total 11/03/17,70,2720.317869
Team Total 11/03/17,75,1597.343603
Team Total 11/03/17,80,1979.428386
Team Total 11/03/17,85,1934.953824
Team Total 11/03/17,90,1520.249747
Team Total 11/07/17,0,3022.810646
Team Total 11/07/17,5,1319.981459
Team Total 11/07/17,10,1979.972188
Team Total 11/07/17,15,2503.529876
Team Total 11/07/17,20,790.623767
Team Total 11/07/17,25,1185.935651
Team Total 11/07/17,30,1499.835246
Team Total 11/07/17,35,999.8901642
Team Total 11/07/17,40,2502.12101
Team Total 11/07/17,45,1968.981952
Team Total 11/07/17,50,2132.522534
Team Total 11/07/17,55,1161.841213
Team Total 11/07/17,60,1481.946161
Team Total 11/07/17,65,2222.919242
Team Total 11/07/17,70,1857.148651
Team Total 11/07/17,75,426.3644993
Team Total 11/07/17,80,648.7520979
Team Total 11/07/17,85,973.1281469
Team Total 11/07/17,90,1062.67419
